"Utility ID","Utility Name","Plant Code","Plant Name","State","County","Generator ID","Status","Technology","Prime Mover","Sector Name","Sector","Nameplate Capacity (MW)","Summer Capacity (MW)","Winter Capacity (MW)","Operating Month","Operating Year","Nameplate Energy Capacity (MWh)","Maximum Charge Rate (MW)","Maximum Discharge Rate (MW)","Storage Technology 1","Storage Technology 2","Storage Technology 3","Storage Technology 4","Nameplate Reactive Power Rating","Storage Enclosure Type","Arbitrage","Frequency Regulation","Load Following","Ramping / Spinning Reserve","Co-Located Renewable Firming","Transmission and Distribution Deferral","System Peak Shaving","Load Management","Voltage or Reactive Power Support","Backup Power","Excess Wind and Solar Generation"
49893,"Invenergy Services LLC",60390,"Beech Ridge Energy Storage","WV","Greenbrier","BRES","OP","Batteries","BA","IPP Non-CHP",2,31.5,31.5,31.5,10,2015,12.5,31.5,31.5,"LIB",NA,NA,NA,0.5,"CT",NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
15248,"Portland General Electric Co",60441,"Salem Smart Power Center","OR","Marion","SSPC","SB","Batteries","BA","Electric Utility",1,5,5,5,8,2013,1.3,5,5,"LIB",NA,NA,NA,5,"BL",NA,"Y",NA,NA,"Y",NA,"Y","Y",NA,NA,NA
15500,"Puget Sound Energy Inc",60444,"Glacier Battery Storage","WA","Whatcom","GLA","OP","Batteries","BA","Electric Utility",1,2,2,2,9,2016,4.4,2,2,"LIB",NA,NA,NA,2,"CT","Y","Y","Y","Y",NA,NA,"Y",NA,NA,"Y",NA
50174,"Electric Transmission Texas LLC",60506,"ETT Presidio NaS Battery","TX","Presidio","BOB","OP","Batteries","BA","IPP Non-CHP",2,4,4,4,3,2010,4,4,4,"NAB",NA,NA,NA,4,"BL",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA
7601,"Green Mountain Power Corp",60518,"Stafford Hill Solar","VT","Rutland","BA1","OP","Batteries","BA","Electric Utility",1,2,2,2,9,2015,3.4,2,2,"LIB","PBB",NA,NA,500,"CS",NA,"Y",NA,NA,NA,NA,"Y",NA,NA,NA,NA
7140,"Georgia Power Co",60561,"Cedartown Battery Energy Storage Project","GA","Polk","1","OP","Batteries","BA","Electric Utility",1,1,1,1,10,2015,2,1,1,"LIB",NA,NA,NA,1.5,"CT",NA,NA,"N",NA,"Y","Y","Y","Y","N",NA,"Y"
10433,"Kodiak Electric Assn Inc",60563,"Flywheel Energy Storage System","AK","Kodiak Island","FESS","OP","Flywheels","FW","Electric Utility",1,2,2,2,9,2015,2,2,2,NA,NA,NA,NA,2,"CS",NA,"Y","Y","Y","Y","Y","Y","Y","Y","Y","Y"
60336,"SDGE Batteries",60565,"Borrego Springs Energy Storage","CA","San Diego","SES1","OP","Batteries","BA","Electric Utility",1,0.5,0.5,0.5,12,2012,1.5,0.5,0.5,"LIB",NA,NA,NA,1.5,"CS","N",NA,NA,NA,NA,NA,"Y",NA,NA,"Y",NA
60336,"SDGE Batteries",60565,"Borrego Springs Energy Storage","CA","San Diego","SES2","OP","Batteries","BA","Electric Utility",1,1,1,1,2,2014,3,1,1,"LIB",NA,NA,NA,1.5,"CS",NA,NA,NA,NA,NA,NA,"Y",NA,NA,"Y",NA
60336,"SDGE Batteries",60566,"Pala Energy Storage Yard","CA","San Diego","SES1","OP","Batteries","BA","Electric Utility",1,0.5,0.5,0.5,12,2012,1.5,0.5,0.5,"LIB",NA,NA,NA,1.5,"CS",NA,NA,NA,NA,NA,NA,"Y",NA,NA,"Y","Y"
60336,"SDGE Batteries",60566,"Pala Energy Storage Yard","CA","San Diego","SES2","OP","Batteries","BA","Electric Utility",1,1,1,1,8,2015,2,1,1,"LIB",NA,NA,NA,1.5,"CS",NA,NA,NA,NA,NA,NA,"Y",NA,NA,"Y","Y"
60336,"SDGE Batteries",60567,"Ortega Highway Energy Storage","CA","Orange","SES1","OP","Batteries","BA","Electric Utility",1,1,1,1,5,2015,3,1,1,"LIB",NA,NA,NA,2,"CS",NA,NA,NA,NA,NA,NA,"Y","Y",NA,"Y",NA
